,title,Published,Likes,View,Comment,monthn
77,How I Learned to Learn.,2021-07-31,2355,50643,209,Jul
78,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,576,10327,50,Jul
79,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,93,2376,30,Jul
80,Why are APIs Important for Data Science?,2021-07-09,449,9715,95,Jul
81,Is Your Phone REALLY Listening to You?,2021-07-03,280,5154,116,Jul
82,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,590,14683,121,Jun
83,#66DaysOfData - 3 Reasons to Start!,2021-06-18,226,4078,41,Jun
84,#66DaysOfData - What is it? #shorts,2021-06-11,387,8995,54,Jun
85,A Quick Data Science Project Tip! #SHORTS,2021-06-03,1010,16552,89,Jun
86,Discouraged with Data Science? - Watch THIS video.,2021-05-28,391,7426,195,May
87,How Data Science Projects Pay Off,2021-05-22,594,10547,146,May
88,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,486,10504,134,May
89,What is a lambda function (python)? #shorts,2021-05-13,928,15017,49,May
90,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,1498,27982,61,May
91,What is Pandas? (Data & Data Science) #shorts,2021-04-30,1188,23274,87,Apr
92,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,3415,76516,281,Apr
93,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,689,23391,85,Apr
94,Why You Probably Won't Become a Data Scientist,2021-04-09,4020,137062,482,Apr
95,How to Go From Data Analyst to Data Scientist,2021-04-02,1524,53008,173,Apr
96,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,138,3968,92,Mar
97,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,350,18138,108,Mar
98,My Regrets as a Data Science Student,2021-03-12,878,23852,112,Mar
99,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,196,3824,83,Mar
100,What is the Future of my Comment Leaderboard Project?,2021-02-26,202,5561,81,Feb
101,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,173,6634,51,Feb
102,Why I Quit Data Science,2021-02-12,2343,104433,348,Feb
103,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,553,10637,116,Jan
104,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,295,6988,126,Jan
105,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,298,9518,52,Jan
106,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,694,22170,134,Jan
107,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,1135,36982,147,Jan
108,What is the #66DaysOfData?,2020-12-26,2314,69414,202,Dec
109,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,5975,131286,488,Dec
110,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,395,10811,133,Dec
111,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,727,23391,326,Dec
112,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,846,27346,160,Nov
113,6 Lessons from #66DaysOfData,2020-11-13,340,6709,93,Nov
114,100K Channel Update + AMA Stream!,2020-11-12,127,2319,22,Nov
115,Find a Data Science Project With These 3 Techniques,2020-11-06,722,16649,106,Nov
116,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,665,26401,155,Oct
117,git for Data Science Made Simple... (Hopefully),2020-10-23,856,18994,92,Oct
118,The PODCAST you might have asked for?,2020-10-19,94,2109,44,Oct
119,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,448,6711,113,Oct
120,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,405,13865,48,Oct
121,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,143,6681,62,Oct
122,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,554,11062,83,Oct
123,Sh*t Data Scientists Say (Parody),2020-10-05,575,9419,143,Oct
124,5 Proven Strategies to Break into a Data Science Job,2020-10-02,366,8608,93,Oct
125,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,289,7055,61,Sep
126,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,290,11483,69,Sep
127,5 Essential Data Science Projects for Your Portfolio,2020-09-26,3086,72014,208,Sep
128,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,196,5170,64,Sep
129,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,452,11264,58,Sep
130,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,250,7401,34,Sep
131,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,193,5091,56,Sep
132,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,157,4185,35,Sep
133,The 5 Pillars of Success I Live By,2020-09-11,873,10122,152,Sep
134,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,78,1887,25,Sep
